"cc","FloodPhenomenaID","Year","StartDate","EndDate","Number_FE","Number_FL","EUUOMCODE","FP_Severity","FP_Duration","FP_Extension","SourceOfFlooding","CharacteristicsOfFlooding","MechanismOfFlooding","FrequencyCategory","Area","Source","OtherSources"
"AL","AL-1992-11-17",1992,17/11/1992,19/11/1992,,,"","Very High",2,"","","","","",,"EM-DAT",""
"AL","AL-1995-08-19",1995,19/08/1995,26/08/1995,,,"","Very High",8,"","","","","",,"DFO",""
"AL","AL-1995-09-20",1995,20/09/1995,20/09/1995,,,"","Very High",,"","","","","",,"EM-DAT",""
"AL","AL-1995-09-21",1995,21/09/1995,24/09/1995,,,"","Very High",4,"","","","","",,"DFO",""
"AL","AL-1995-12-27",1995,27/12/1995,27/12/1995,,,"","Moderate",,"","","","","",,"EM-DAT",""
"AL","AL-1996-11-19",1996,19/11/1996,21/11/1996,,,"","High",3,"","","","","",,"DFO",""
"AL","AL-1997-12-20",1997,20/12/1997,23/12/1997,,,"","Moderate",3,"","","","","",,"EM-DAT",""
"AL","AL-2002-09-21",2002,21/09/2002,10/10/2002,,,"","Very High",19,"","","","","",,"EM-DAT",""
"AL","AL-2004-12-04",2004,04/12/2004,08/12/2004,,,"","Moderate",4,"","","","","",,"EM-DAT",""
"AL","AL-2005-11-30",2005,30/11/2005,03/12/2005,,,"","Very High",3,"","","","","",,"EM-DAT",""
"AL","AL-2009-12-27",2009,27/12/2009,08/01/2010,,,"","Moderate",12,"","","","","",,"EM-DAT",""
"AL","AL-2010-12-03",2010,03/12/2010,03/12/2010,,,"","Moderate",,"","","","","",,"EM-DAT",""
"AL","AL-2013-03-15",2013,15/03/2013,12/04/2013,,,"","High",29,"","","","","",,"DFO",""
"AT","AT-1980-10-13",1980,13/10/1980,13/10/1980,,,"","Moderate",,"","","","","",,"EM-DAT",""
"AT","AT-1982-01-31",1982,31/01/1982,01/02/1982,3,3,"AT1000","High",1,"","Fluvial","High velocity flow","Natural exceedance","Rare",,"FD",""
"AT","AT-1982-05-18",1982,18/05/1982,18/05/1982,,,"","Moderate",,"","","","","",,"EM-DAT",""
"AT","AT-1983-09-22",1983,22/09/1983,22/09/1983,,,"","Moderate",,"","","","","",,"EM-DAT",""
"AT","AT-1985-05-17",1985,17/05/1985,18/05/1985,1,1,"AT1000","Moderate",1,"","Fluvial","Flash flood","Blockage/restriction","",,"FD",""
"AT","AT-1985-08-06",1985,06/08/1985,08/08/1985,2,2,"AT1000","Very High",2,"","Fluvial","Deep flood","Natural exceedance","Very Rare",,"FD","Data on Fatalities obtained from EM-DAT"
"AT","AT-1987-07-01",1987,01/07/1987,02/07/1987,2,2,"AT1000","Very High",1,"","Fluvial","High velocity flow","Natural exceedance","Very Rare",,"FD",""
"AT","AT-1987-07-18",1987,18/07/1987,20/07/1987,1,1,"AT1000","Very High",2,"","Fluvial","Flash flood","Natural exceedance","Very Rare",,"FD",""
"AT","AT-1987-08-15",1987,15/08/1987,17/08/1987,1,1,"AT1000","Very High",2,"","Fluvial","Debris flow","Natural exceedance","Very Rare",,"FD",""
"AT","AT-1987-08-24",1987,24/08/1987,26/08/1987,2,2,"AT1000","Very High",2,"","Fluvial","High velocity flow,Deep flood","Natural exceedance,Defence exceedance,Defence or infrastructural failure,Blockage/restriction","Very Rare",,"FD",""
"AT","AT-1987-09-05",1987,05/09/1987,06/09/1987,1,1,"AT1000","Moderate",1,"","Fluvial","","","",,"FD",""
"AT","AT-1988-09-12",1988,12/09/1988,13/09/1988,3,3,"AT1000","High",1,"","Fluvial","Debris flow","Natural exceedance","",,"FD",""
"AT","AT-1989-07-12",1989,12/07/1989,13/07/1989,1,1,"AT1000","Moderate",1,"","Fluvial","","","",,"FD",""
"AT","AT-1989-08-17",1989,17/08/1989,18/08/1989,1,1,"AT1000","Very High",1,"","","","","Very Rare",,"FD",""
"AT","AT-1991-08-01",1991,31/07/1991,08/08/1991,6,6,"AT1000","Very High",8,"","Fluvial","High velocity flow,Deep flood","Natural exceedance","Very Rare",,"FD","Data on Degree_TotalDamage obtained from EM-DAT, Data on Fatalities obtained from EM-DAT"
"AT","AT-1994-07-26",1994,26/07/1994,27/07/1994,2,2,"AT1000","Very High",1,"","Fluvial","Debris flow,Flash flood","Natural exceedance","Very Rare",,"FD",""
"AT","AT-1995-06-27",1995,27/06/1995,27/06/1995,,,"","Very High",,"","","","","",,"EM-DAT",""
"AT","AT-1995-08-06",1995,06/08/1995,07/08/1995,1,1,"AT1000","Moderate",1,"","Fluvial","Debris flow","Natural exceedance","",,"FD",""
"AT","AT-1996-06-09",1996,09/06/1996,11/06/1996,2,2,"AT1000","High",2,"","Fluvial","High velocity flow","Natural exceedance","",,"FD",""
"AT","AT-1996-06-19",1996,19/06/1996,23/06/1996,,,"","Moderate",4,"","","","","",,"EM-DAT",""
"AT","AT-1996-07-01",1996,01/07/1996,03/07/1996,1,1,"AT1000","High",2,"","Fluvial","Deep flood","Natural exceedance","Rare",,"FD",""
"AT","AT-1996-10-21",1996,21/10/1996,23/10/1996,1,1,"AT1000","Moderate",2,"","Fluvial","High velocity flow","Natural exceedance","",,"FD",""
"AT","AT-1997-07-05",1997,05/07/1997,09/07/1997,21,21,"AT1000","Very High",4,"","Fluvial","Deep flood,High velocity flow","Natural exceedance","Very Rare",,"FD","Data on Degree_TotalDamage obtained from EM-DAT, Data on Fatalities obtained from EM-DAT"
"AT","AT-1997-07-18",1997,18/07/1997,19/07/1997,5,5,"AT1000","Very High",1,"","Fluvial","High velocity flow","Natural exceedance","Very Rare",,"FD","Data on Degree_TotalDamage obtained from EM-DAT, Data on Fatalities obtained from EM-DAT"
"AT","AT-1998-09-05",1998,05/09/1998,07/09/1998,1,1,"AT1000","Very High",2,"","","","","Very Rare",,"FD",""
"AT","AT-1998-10-29",1998,29/10/1998,30/10/1998,1,1,"AT1000","Moderate",1,"","Fluvial","High velocity flow","Natural exceedance","",,"FD",""
"AT","AT-1999-02-01",1999,01/02/1999,02/02/1999,2,2,"AT1000","High",1,"","Fluvial","High velocity flow","Natural exceedance","",,"FD",""
"AT","AT-1999-02-20",1999,20/02/1999,21/02/1999,1,1,"AT1000","Moderate",1,"","Fluvial","High velocity flow","Natural exceedance","",,"FD",""
"AT","AT-1999-05-21",1999,20/05/1999,26/06/1999,4,4,"AT2000,AT1000","Very High",37,"","Fluvial","Deep flood,Snow melt flood,Slow onset flood","Natural exceedance","Very Rare",,"FD","Data on Degree_TotalDamage obtained from EM-DAT, Data on Fatalities obtained from EM-DAT"
"AT","AT-1999-09-20",1999,20/09/1999,22/09/1999,2,2,"AT1000","Very High",2,"","Fluvial","Flash flood","Natural exceedance,Blockage/restriction","Very Rare",,"FD",""
