"ID","cc","FloodPhenomenaID","FloodEventCode","NameofFloodEvent","FloodLocationCode","FloodLocationName","Source"
1,"AT","AT-2006-07-14","AT2157000","Pressingbach / Edenbach","ATFL1100","Edenbach (Gem. Frantschach) (Fluss-km 0 bis 0,5)","FD"
2,"AT","AT-2006-07-22","AT2166900","Pressingbach / Edenbach","ATFL1081","Edenbach (Gem. Frantschach) (Fluss-km 0 bis 0,5)","FD"
3,"AT","AT-2006-06-30","AT2168100","Schrackbach","ATFL1220","Schreckbach (Fluss-km 0 bis 0,5)","FD"
4,"AT","AT-2008-06-24","AT2241200","Schrackbach","ATFL1219","Schreckbach (Fluss-km 0 bis 0,5)","FD"
5,"AT","AT-2009-07-18","AT2355500","Rückenbach","ATFL1202","Riekenbach (Fluss-km 0,5 bis 1)","FD"
6,"AT","AT-2009-07-30","AT2359900","Feldbach / Innerkrems","ATFL1203","Krems (Fluss-km 10 bis 10,5)","FD"
7,"AT","AT-2009-07-30","AT2363100","Pressingbach / Edenbach","ATFL1188","Edenbach (Gem. Frantschach) (Fluss-km 0 bis 0,5)","FD"
8,"AT","AT-2009-08-22","AT2387300","Plonerbach","ATFL1080","Plonerbach (Fluss-km 1 bis 2)","FD"
9,"AT","AT-2009-08-28","AT2389400","Knapperbachl","ATFL1099","Knapperbachl (Fluss-km 0 bis 0,5)","FD"
10,"AT","AT-2009-08-22","AT2398000","Tangernerbach","ATFL1152","Tangernerbach (Fluss-km 1 bis 2)","FD"
11,"AT","AT-2009-07-18","AT2398800","Gratschacherbach","ATFL1133","Gratschacherbach (Fluss-km 1,5 bis 2)","FD"
12,"AT","AT-2010-05-06","AT2443200","Nötschbach","ATFL1218","Nötschbach (Fluss-km 9 bis 9,5)","FD"
13,"AT","AT-2010-07-16","AT2480200","Waldensteinerbach-Auerlingbach","ATFL1221","Auerlingbach (Fluss-km 0 bis 0,5)","FD"
14,"AT","AT-2003-08-29","AT2532873","Vorderberger Wildbach","ATFL1217","Vorderberger Wildbach (Fluss-km 0 bis 1,7)","FD"
15,"AT","AT-2009-06-22","AT3000101","","ATFL1140","Kleine Ybbs (Fluss-km 4,5 bis 8,5)","FD"
16,"AT","AT-2009-06-22","AT3000102","","ATFL1283","Mank (Fluss-km 0 bis 4,5)","FD"
17,"AT","AT-2009-06-22","AT3000103","","ATFL1285","Melk (Fluss-km 1 bis 17)","FD"
18,"AT","AT-2009-06-22","AT3000104","","ATFL800","Ybbs (Fluss-km 94,8 bis 96,6)","FD"
19,"AT","AT-2009-06-22","AT3000105","","ATFL1176","Große Tulln (Fluss-km 5,998 bis 39,5), Laabenbach (Fluss-km 39,5 bis 40)","FD"
20,"AT","AT-2009-06-22","AT3000106","","ATFL1110","Elzbach (Fluss-km 2,501 bis 4,501)","FD"
21,"AT","AT-2009-06-22","AT3000107","","ATFL1282","Pielach (Fluss-km 4,998 bis 55)","FD"
22,"AT","AT-2009-06-22","AT3000108","","ATFL1216","Leitha (Fluss-km 97 bis 98,9)","FD"
23,"AT","AT-2009-06-22","AT3000109","","ATFL1051","Kleine Erlauf (Fluss-km 0 bis 1)","FD"
24,"AT","AT-2009-06-22","AT3000110","","ATFL908","Kleine Erlauf (Fluss-km 28 bis 29,5)","FD"
25,"AT","AT-2009-06-22","AT3000111","","ATFL1134","Kleine Erlauf (Fluss-km 1 bis 28), Kleine Erlauf (Fluss-km 29 bis 30,5)","FD"
26,"AT","AT-2009-06-22","AT3000112","","ATFL684","Kleine Ybbs (Fluss-km 0 bis 3,201), Schwarze Ois (Kleine Ybbs), (Fluss-km 3,201 bis 4,5)","FD"
27,"AT","AT-2009-06-22","AT3000113","","ATFL996","Schwarze Ois (Kleine Ybbs) (Fluss-km 8,5 bis 9)","FD"
28,"AT","AT-2006-08-06","AT3000201","","ATFL1037","Ybbs (Fluss-km 94,5 bis 96,816)","FD"
29,"AT","AT-2006-08-06","AT3000202","","ATFL1114","Erlauf (Fluss-km 13,5 bis 16)","FD"
30,"AT","AT-2006-08-06","AT3000203","","ATFL1084","Erlauf (Fluss-km 29,5 bis 31,851)","FD"
31,"AT","AT-2006-08-06","AT3000204","","ATFL1118","Erlauf (Fluss-km 16 bis 29,5) (Fluss-km 9,66 bis 13,5)","FD"
32,"AT","AT-2006-06-30","AT3000301","Thaya","ATFL1208","Thaya (Fluss-km 233,499 bis 234,3)","FD"
33,"AT","AT-2006-06-30","AT3000302","Thaya","ATFL1211","Thaya (Fluss-km 232,5 bis 233,5)","FD"
34,"AT","AT-2006-06-30","AT3000303","Thaya","ATFL1246","Thaya (Fluss-km 220 bis 221)","FD"
