"cc","FloodPhenomenaID","Fatalities","Degree_TotalDamage","Degree_TotalDamageClass","EnvironmentImpact","ProtectedAreas","ConseqProtectedAreas","PollutionSources","ConseqPollutionSources","WaterbodyStatus","AdditionalEnvironmentInfo","EconomicImpact","Property","RuralLandUse","EconomicActivity","OtherEconomicActivity","CulturalHeritageImpact","Source"
"AL","AL-1992-11-17",11,5530000,"","","","","","","","","","","","","","","EM-DAT"
"AL","AL-1995-08-19",5,,"","","","","","","","","","","","","","","DFO"
"AL","AL-1995-09-20",4,,"","","","","","","","","","","","","","","EM-DAT"
"AL","AL-1995-09-21",4,7900000,"","","","","","","","","","","","","","","DFO"
"AL","AL-2002-09-21",1,13825000,"","","","","","","","","","","","","","","EM-DAT"
"AL","AL-2004-12-04",,136670,"","","","","","","","","","","","","","","EM-DAT"
"AL","AL-2005-11-30",3,,"","","","","","","","","","","","","","","EM-DAT"
"AT","AT-1982-01-31",,,"","","","","","","","","","","","","","","FD"
"AT","AT-1985-05-17",,,"","","","","","","","","EconomicOverall","","","","","","FD"
"AT","AT-1985-08-06",12,,"","","","","","","","","","","","","","","FD"
"AT","AT-1987-07-01",,,"","","","","","","","","","","","","","","FD"
"AT","AT-1987-07-18",,,"","","","","","","","","EconomicOverall","","","","","","FD"
"AT","AT-1987-08-15",,,"","","","","","","","","EconomicOverall","","","","","","FD"
"AT","AT-1987-08-24",,,"","EnvironmentOverall","","","","","","","EconomicOverall","","","","","Cultural Heritage","FD"
"AT","AT-1987-09-05",,,"","","","","","","","","EconomicOverall","","","","","","FD"
"AT","AT-1988-09-12",,,"","EnvironmentOverall","","","","","","","EconomicOverall","","","","","","FD"
"AT","AT-1989-07-12",,,"","","","","","","","","EconomicOverall","","","","","","FD"
"AT","AT-1989-08-17",,,"","EnvironmentOverall","","","","","","","EconomicOverall","","","","","Cultural Heritage","FD"
"AT","AT-1991-08-01",5,64780000,"","EnvironmentOverall","","","","","","","EconomicOverall","","","","","Cultural Heritage","FD"
"AT","AT-1994-07-26",,,"","EnvironmentOverall","","","","","","","EconomicOverall","","","","","","FD"
"AT","AT-1995-06-27",2,158000,"","","","","","","","","","","","","","","EM-DAT"
"AT","AT-1995-08-06",,,"","EnvironmentOverall","","","","","","","EconomicOverall","","","","","","FD"
"AT","AT-1996-06-09",,,"","","","","","","","","","","","","","","FD"
"AT","AT-1996-06-19",,3950000,"","","","","","","","","","","","","","","EM-DAT"
"AT","AT-1996-07-01",,,"","EnvironmentOverall","","","","","","","EconomicOverall","","","","","","FD"
"AT","AT-1996-10-21",,,"","","","","","","","","","","","","","","FD"
"AT","AT-1997-07-05",2,110600000,"","EnvironmentOverall","","","","","","","EconomicOverall","","","","","Cultural Heritage","FD"
"AT","AT-1997-07-18",1,27650000,"","","","","","","","","","","","","","","FD"
"AT","AT-1998-09-05",,,"","EnvironmentOverall","","","","","","","EconomicOverall","","","","","Cultural Heritage","FD"
"AT","AT-1998-10-29",,,"","","","","","","","","","","","","","","FD"
"AT","AT-1999-02-01",,,"","","","","","","","","","","","","","","FD"
"AT","AT-1999-02-20",,,"","","","","","","","","","","","","","","FD"
"AT","AT-1999-05-21",3,25280000,"","","","","","","","","EconomicOverall","","","","","Cultural Heritage","FD"
"AT","AT-1999-09-20",,,"","EnvironmentOverall","","","","","","","EconomicOverall","","","","","","FD"
"AT","AT-2000-01-30",,,"","","","","","","","","","","","","","","FD"
"AT","AT-2000-08-06",,,"","EnvironmentOverall","","","","","","","EconomicOverall","","","","","","FD"
"AT","AT-2001-12-29",,,"","","","","","","","","","","","","","","FD"
"AT","AT-2002-03-21",1,,"","","","","","","","","","","","","","","DFO"
"AT","AT-2002-06-06",,,"","EnvironmentOverall","","","","","","","EconomicOverall","","","","","","FD"
"AT","AT-2002-07-17",,,"","","","","","","","","EconomicOverall","","","","","","FD"
"AT","AT-2002-08-07",9,1896000000,"","EnvironmentOverall","","","","","","","EconomicOverall","","","","","Cultural Heritage","FD"
"AT","AT-2003-08-29",,,"","EnvironmentOverall","","","","","","","EconomicOverall","","","","","Cultural Heritage","FD"
"AT","AT-2005-02-12",,,"","","","","","","","","","","","","","","FD"
"AT","AT-2005-07-11",,,"","","","","","","","","EconomicOverall","","","","","","FD"
"AT","AT-2005-08-22",4,553000000,"","EnvironmentOverall","","","","","","","EconomicOverall","","","","","Cultural Heritage","FD"
"AT","AT-2006-03-31",,,"","EnvironmentOverall","","","","","","","EconomicOverall","","","","","Cultural Heritage","FD"
"AT","AT-2006-06-20",,,"","","","","","","","","","","","","","","FD"
"AT","AT-2006-06-30",,,"","EnvironmentOverall","","","","","","","EconomicOverall","","","","","Cultural Heritage","FD"
"AT","AT-2006-07-14",,,"","","","","","","","","EconomicOverall","","","","","","FD"
"AT","AT-2006-07-22",,,"","","","","","","","","EconomicOverall","","","","","","FD"
"AT","AT-2006-07-28",,,"","EnvironmentOverall","","","","","","","EconomicOverall","","","","","","FD"
"AT","AT-2006-08-06",,,"","EnvironmentOverall","","","","","","","EconomicOverall","","","","","Cultural Heritage","FD"
"AT","AT-2007-08-20",,,"","","","","","","","","EconomicOverall","","","","","","FD"
"AT","AT-2008-04-22",,,"","EnvironmentOverall","","","","","","","EconomicOverall","","","","","Cultural Heritage","FD"
"AT","AT-2008-06-24",,,"","","","","","","","","EconomicOverall","","","","","","FD"
"AT","AT-2009-06-22",1,158000000,"","EnvironmentOverall","","","","","","","EconomicOverall","","","","","Cultural Heritage","FD"
"AT","AT-2009-07-04",,,"","EnvironmentOverall","","","","","","","EconomicOverall","","","","","Cultural Heritage","FD"
"AT","AT-2009-07-18",,,"","EnvironmentOverall","","","","","","","EconomicOverall","","","","","Cultural Heritage","FD"
"AT","AT-2009-07-30",,,"","","","","","","","","EconomicOverall","","","","","","FD"
"AT","AT-2009-08-22",,,"","EnvironmentOverall","","","","","","","EconomicOverall","","","","","Cultural Heritage","FD"
"AT","AT-2009-08-28",,,"","","","","","","","","EconomicOverall","","","","","","FD"
"AT","AT-2010-02-22",,,"","","","","","","","","EconomicOverall","","","","","","FD"
"AT","AT-2010-05-06",,,"","","","","","","","","EconomicOverall","","","","","","FD"
"AT","AT-2010-06-02",,,"","","","","","","","","","","","","","","FD"
"AT","AT-2010-07-11",,,"","EnvironmentOverall","","","","","","","EconomicOverall","","","","","","FD"
"AT","AT-2010-07-16",,,"","","","","","","","","EconomicOverall","","","","","","FD"
"AT","AT-2013-06-02",4,790000000,"","","","","","","","","","","","","","","EM-DAT"
"AT","AT-AT3000701",,,"","EnvironmentOverall","","","","","","","","","","","","","FD"
"AT","AT-AT3000702",,,"","EnvironmentOverall","","","","","","","","","","","","","FD"
"AT","AT-AT3001400",,,"","EnvironmentOverall","","","","","","","","","","","","Cultural Heritage","FD"
"AT","AT-AT4000500",,,"","EnvironmentOverall","","","","","","","","","","","","","FD"
"AT","AT-AT4009400",,,"","","","","","","","","","","","","","","FD"
"AT","AT-AT4009500",,,"","","","","","","","","","","","","","","FD"
"AT","AT-AT4009600",,,"","","","","","","","","","","","","","","FD"
"AT","AT-AT6001600",,,"","EnvironmentOverall","","","","","","","","","","","","","FD"
"AT","AT-AT7000009",,,"","EnvironmentOverall","","","","","","","","","","","","","FD"
"AT","AT-AT7000017",,,"","EnvironmentOverall","","","","","","","","","","","","","FD"
"AT","AT-AT7000019",,,"","EnvironmentOverall","","","","","","","","","","","","","FD"
"BA","BA-1989-01-26",72,3428600,"","","","","","","","","","","","","","","DFO"
"BA","BA-1996-09-20",1,,"","","","","","","","","","","","","","","DFO"
"BA","BA-2004-04-06",,12008000,"","","","","","","","","","","","","","","EM-DAT"
"BA","BA-2010-06-20",46,68730000,"","","","","","","","","","","","","","","EM-DAT"
"BA","BA-2010-12-03",3,,"","","","","","","","","","","","","","","EM-DAT"
"BA","BA-2014-05-14",23,2037000000,"VeryHigh","","","","","","","","","High","High","High","energy sector, health care, public services, water supply and sewage system and infrastructure","","National Authorities"
"BE","BE-1980-07",,,"High","","","","","No","NotRelevant","","","High","High","Medium","","","National Authorities"
"BE","BE-1993-12-20",,13430000,"VeryHigh","","","","","No","NotRelevant","","","High","High","High","","","EM-DAT"
"BE","BE-1995-01",1,,"High","","","","","No","NotRelevant","","","High","Low","High","","","National Authorities"
"BE","BE-1998-09-12",1,7900000,"","","","","","","","","","","","","","","EM-DAT"
"BE","BE-1998-09-14",,,"VeryHigh","","","","","No","NotRelevant","","","High","Medium","Medium","","","National Authorities"
"BE","BE-2001-01-06",,,"VeryHigh","","","","","No","NotRelevant","","","High","Low","High","","","National Authorities"
"BE","BE-2002-01-27",,,"VeryHigh","","","","","No","NotRelevant","","","High","Low","High","","","EM-DAT"
"BE","BE-2002-02-13",,,"VeryHigh","","","","","No","NotRelevant","","","High","Low","High","","","National Authorities"
"BE","BE-2002-08-28",,,"VeryHigh","","","","","No","NotRelevant","","","High","High","High","","","National Authorities"
"BE","BE-2002-12-23",,,"","","","","","No","NotRelevant","","","Medium","Low","Low","","","National Authorities"
"BE","BE-2002-12-24",2,,"","","","","","","","","","","","","","","EM-DAT"
"BE","BE-2002-12-31",,,"","","","","","No","NotRelevant","","","Medium","Low","Low","","","National Authorities"
"BE","BE-2003-01-03",,,"High","","","","","No","NotRelevant","","","High","Low","Medium","","","National Authorities"
"BE","BE-2005-07-04",,,"Low","","","","","No","NotRelevant","","","Low","Low","Low","","","National Authorities"
"BE","BE-2005-07-05",,50000000,"","","","","","","","","","","","","","","National Authorities"
"BE","BE-2007-01-19",,,"Medium","","","","","No","NotRelevant","","","Low","Medium","Low","","","National Authorities"
"BE","BE-2008-03-10",1,,"Low","","","","","No","NotRelevant","","","Low","Low","Low","","","National Authorities"
"BE","BE-2010-11-11",3,188135340,"","","","","","","","","","","","","","","EM-DAT"
"BE","BE-2010-11-13",1,,"VeryHigh","","","","","No","NotRelevant","","","High","Medium","High","","","National Authorities"
"BE","BE-2011-01-07",,,"High","","","","","No","NotRelevant","","","Medium","Low","Low","","","National Authorities"
"BE","BE-2012-10-04",,,"Low","","","","","No","NotRelevant","","","Low","Low","Low","","","National Authorities"
